 Project: Custom.Gravitate.Website,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.Website,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.Website,Package: WinSCP, Version: 5.11.3
 Project: Custom.Tests,Package: Gravitate.Core, Version: 5.8.1
 Project: Custom.Tests,Package: Gravitate.Quartz.Server, Version: 5.8.1
 Project: Custom.Tests,Package: Moq, Version: 4.2.1402.2112
 Project: Custom.Tests,Package: Moq.AutoMock, Version: 0.4.0
 Project: Custom.Tests,Package: RestSharp, Version: 106.11.7
 Project: Custom.Tests,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Tests,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Tests,Package: WinSCP, Version: 5.11.3
 Project: Gravitate.Domain.Adapter,Package: Gravitate.Core, Version: 5.8.1
 Project: Gravitate.Domain.Adapter,Package: RestSharp, Version: 106.11.7
 Project: Gravitate.Domain.Adapter,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Gravitate.Domain.Adapter,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Gravitate.Domain.AdapterDBSpecific,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Gravitate.Domain.AdapterDBSpecific,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Gravitate.Integration.RA,Package: Gravitate.Core, Version: 5.8.1
 Project: Gravitate.Integration.RA,Package: RestSharp, Version: 106.11.7
 Project: Gravitate.Integration.RA,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Gravitate.Integration.RA,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Gravitate.Integration.RA.DAL,Package: Gravitate.Core, Version: 5.8.1
 Project: Gravitate.Integration.RA.DAL,Package: RestSharp, Version: 106.11.7
 Project: Gravitate.Integration.RA.DAL,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Gravitate.Integration.RA.DAL,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Gravitate.Integration.RA.DALDBSpecific,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Gravitate.Integration.RA.DALDBSpecific,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Gravitate.Integration.RA.Tests,Package: Gravitate.Core, Version: 5.8.1
 Project: Gravitate.Integration.RA.Tests,Package: RestSharp, Version: 106.11.7
 Project: Gravitate.Integration.RA.Tests,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Gravitate.Integration.RA.Tests,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1

