 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: AngleSharp, Version: 0.9.11
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: BouncyCastle, Version: 1.8.1
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Box.V2, Version: 3.9.0
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Castle.Core, Version: 4.2.1
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Castle.WcfIntegrationFacility, Version: 4.1.0
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Castle.Windsor, Version: 4.1.0
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Castle.Windsor.Lifestyles, Version: 0.4.0
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Common.Logging, Version: 3.4.1
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Common.Logging.Core, Version: 3.4.1
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Flee, Version: 1.2.2
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: FluentValidationNA, Version: 1.2.16
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: GenericParser, Version: 1.1.6
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Gravitate.Core, Version: 5.8.2
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: HtmlSanitizer, Version: 4.0.217
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: iTextSharp, Version: 5.5.12
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: log4net, Version: 2.0.8
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Microsoft.CSharp, Version: 4.4.1
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Microsoft.IdentityModel, Version: 6.1.7600.16394
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Microsoft.IdentityModel.JsonWebTokens, Version: 5.3.0
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Microsoft.IdentityModel.Logging, Version: 5.3.0
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Microsoft.IdentityModel.Tokens, Version: 5.3.0
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: morelinq, Version: 3.1.1
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Newtonsoft.Json, Version: 12.0.3
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
